State,Total Land Area (Thousands of Acres),Forest Land Area (Thousands of Acres)
CT,3099,1712
DE,1247,340
IL,35532,4848
IN,22929,4830
IA,35749,3014
KS,52326,2502
ME,19739,17660
MD,6252,2461
MA,4992,3024
MI,36185,20127
MN,50961,17371
MO,43995,15472
NE,49167,1576
NH,5730,4832
NJ,4707,1964
NY,30161,18966
ND,44161,760
OH,26151,8088
PA,28635,16782
RI,662,360
SD,48519,1911
VT,5899,4591
WV,15384,12155
WI,34661,16980
AL,32413,22877
AR,33303,18755
FL,34447,17461
GA,36809,24768
KY,25271,12472
LA,27650,14712
MS,30031,19542
NC,31115,18588
OK,43901,12646
SC,19239,13120
TN,26390,13942
TX,167188,62425
VA,25274,15907
AZ,72700,18643
CO,66331,22837
ID,52892,21448
MT,93149,25573
NV,70260,11169
NM,77631,24840
UT,52589,18135
WY,62140,11448
AK,365616,128577
CA,99699,32618
HI,4110,1748
OR,61432,29804
WA,42532,22435
